id,imdb_id,name,popularity,image_resource
1415544,nm4015603,Jon Ecker,6.714,classpath:/static/images/celebs/img_1415544.jpg
67979,nm1002664,Michael Eklund,6.714,classpath:/static/images/celebs/img_67979.jpg
2226,nm0001628,Sydney Pollack,6.713,classpath:/static/images/celebs/img_2226.jpg
84507,nm0620017,Kazuya Nakai,6.713,classpath:/static/images/celebs/img_84507.jpg
76547,nm0377336,Aksel Hennie,6.713,classpath:/static/images/celebs/img_76547.jpg
1686977,nm1714990,Guan Xiaotong,6.712,classpath:/static/images/celebs/img_1686977.jpg
15860,nm0001208,Miguel Ferrer,6.712,classpath:/static/images/celebs/img_15860.jpg
151,nm0005683,Roger Deakins,6.711,classpath:/static/images/celebs/img_151.jpg
1423519,nm4802218,Oona Laurence,6.709,classpath:/static/images/celebs/img_1423519.jpg
1598773,nm4407460,Paras Patel,6.709,classpath:/static/images/celebs/img_1598773.jpg
91495,nm0448252,Mimi Kennedy,6.708,classpath:/static/images/celebs/img_91495.jpg
1314817,nm1451888,Chan Ho-Man,6.708,classpath:/static/images/celebs/img_1314817.jpg
2387796,nm10799242,Zhu Zanjin,6.708,classpath:/static/images/celebs/img_2387796.jpg
3798,nm0385757,Pat Hingle,6.708,classpath:/static/images/celebs/img_3798.jpg
1909534,nm7594279,Lovie Simone,6.708,classpath:/static/images/celebs/img_1909534.jpg
59316,nm0114238,Max Brown,6.708,classpath:/static/images/celebs/img_59316.jpg
70674,nm0160865,Norman Chui,6.708,classpath:/static/images/celebs/img_70674.jpg
12640,nm0000141,David Duchovny,6.708,classpath:/static/images/celebs/img_12640.jpg
81668,nm1484134,Rachael MacFarlane,6.707,classpath:/static/images/celebs/img_81668.jpg
972286,nm2668202,Denisse Peña,6.707,classpath:/static/images/celebs/img_972286.jpg
46230,nm0651915,Nagisa Ōshima,6.706,classpath:/static/images/celebs/img_46230.jpg
130081,nm0235960,Robin Atkin Downes,6.706,classpath:/static/images/celebs/img_130081.jpg
934173,nm3458761,David Mazouz,6.705,classpath:/static/images/celebs/img_934173.jpg
173020,nm0642801,Richard O'Sullivan,6.705,classpath:/static/images/celebs/img_173020.jpg
